	2007-06-02_1 Relative Abundance (%)	2007-07-05_1 Relative Abundance (%)	2007-08-17_1 Relative Abundance (%)	2007-10-19_1 Relative Abundance (%)	2007-11-09_1 Relative Abundance (%)	2007-12-14_1 Relative Abundance (%)	2008-01-15_1 Relative Abundance (%)	2008-02-20_1 Relative Abundance (%)	2008-04-16_1 Relative Abundance (%)	2008-05-21_1 Relative Abundance (%)	2008-06-11_1 Relative Abundance (%)	2008-08-18_1 Relative Abundance (%)	2008-09-19_1 Relative Abundance (%)	2008-10-08_1 Relative Abundance (%)	2008-11-13_1 Relative Abundance (%)	2008-12-15_1 Relative Abundance (%)	2009-01-12_1 Relative Abundance (%)	2009-02-13_1 Relative Abundance (%)	2009-03-25_1 Relative Abundance (%)	2009-04-17_1 Relative Abundance (%)	2009-05-26_1 Relative Abundance (%)	2009-06-09_1 Relative Abundance (%)	2009-07-20_1 Relative Abundance (%)	2009-08-24_1 Relative Abundance (%)	2009-09-10_1 Relative Abundance (%)	2009-10-19_1 Relative Abundance (%)	2009-11-19_1 Relative Abundance (%)	2009-12-15_1 Relative Abundance (%)
CHLO_21	0.068177596	0.107607566	0.103850484	0.05176196	0.062849544	0.0559691	0.042694	0.031663276	0.041495115	0.09006515	0.07857868	0.09966215	0.07720091	0.058145747	0.05308475	0.026386864	0.023729574	0.03267015	0.040972546	0.028590178	0.041298043	0.04971685	0.0519543	0.0576974	0.056519922	0.056227807	0.057690125	0.028359618
PROT_136	0.6373979	0.4419147	0.81517214	0.59529734	0.4367856	0.5248424	0.3774014	0.4896209	0.3626314	0.37264723	0.42827758	0.8057066	0.75028	1.0456462	0.9654208	0.53409874	0.6119904	0.5754626	0.98161715	1.033922	0.6691122	0.63305706	0.50536597	0.45931914	0.29006168	0.51405597	0.78518903	0.39228413
PROT_254	0.8146054	0.09290819	0.029796308	0.032440323	0.2510385	0.17986031	0.070240304	0.2404571	0.36048573	0.71108	0.65068793	0.4336758	0.22376071	0.37414798	0.65580595	0.2895523	0.35274482	0.5123879	0.65599364	0.5630314	0.9819005	0.7546003	0.32555398	0.75634044	0.48062947	0.26570046	0.42074212	0.43442842
PROT_125	0.19890997	0.23734878	0.2595194	0.2749323	0.2336253	0.31483686	0.22452581	0.17868017	0.3758848	0.48061606	0.3741646	0.32756454	0.30123395	0.21034609	0.392813	0.26128402	0.20375623	0.2754637	0.29565084	0.17719878	0.28088897	0.33585483	0.23073313	0.14947392	0.12958689	0.18755732	0.17010656	0.112785205
CHLO_11	0.07648569	0.13369219	0.11997578	0.046555076	0.05995702	0.029464507	0.017569331	0	0	0.025617491	0.029748105	0.047813583	0.04703368	0.0719529	0.19643275	0.067605056	0.037751593	0.033247042	0.043765772	0.018092388	0.020251524	0.022290153	0.033060137	0.075228274	0.14431828	0.14661309	0.10661784	0.044352137
PROT_42	0.08694555	0.07738184	0.061231684	0.2767366	0.29056066	0.4071036	0.37469915	0.21619152	0.05120375	0.04415667	0.06631328	0.11129421	0.1580761	0.15706584	0.12557536	0.082943745	0.08998887	0.06766547	0.035410594	0.022331908	0.040938657	0.062206704	0.09546344	0.06378373	0.07074282	0.18912987	0.12505135	0.09578703
PATE_01	0	0	0.012856629	0.20259413	0.19711456	0.049242925	0	0	0	0	0	0	0	0.008974736	0.060518246	0.023715422	0.013291549	0	0	0	0	0	0	0.016550565	0.048826225	0.042372	0.04804596	0.028856976
CHLO_22	0.024113188	0.07449692	0.11297368	0.055827893	0.044582427	0.042520776	0.039066933	0.016161237	0.030014474	0.023765001	0.02451703	0.10329706	0.14779109	0.22185053	0.15598461	0.073632695	0.065311395	0.044020362	0.023727188	0.013374148	0.023728771	0.029881336	0.09204175	0.16414459	0.1621504	0.048343845	0.1525718	0.06836014
PROT_88	0.20961699	0.23953906	0.22240262	0.32780218	0.32087925	0.1263713	0.08419477	0.08882537	0.13002591	0.12795095	0.115879014	0.116810605	0.18251967	0.18894914	0.15621942	0.17043203	0.11366597	0.11722773	0.096926086	0.11115881	0.14057091	0.15543912	0.12004696	0.12766953	0.11820107	0.1605766	0.11628023	0.09015737
BACT_38	0	0.17745408	0.03289582	0.03578709	0.040610187	0.1497703	0.007995461	0.1826524	0	0.029030925	0.018681122	0.009398917	0	0	0	0	0	0	0	0	0.01403217	0	0	0.018761255	0	0.012027782	0	0.020746002
BACT_17	0.1405395	0.16394088	0.118486054	0.04311982	0.186912	0.0587743	0.014788914	0.02068135	0	0	0.009817285	0.15038115	0.07478531	0.03182432	0.16429208	0.23787127	0.032732606	0.0529277	0.06288736	0.064906634	0.29544896	0.30724373	0.242817	0.31793582	0.5742553	0.32963213	0.42495304	0.06694541
PROT_76	0.17598453	0.18715614	0.25433907	0.19464731	0.22849758	0.1488327	0.1144971	0.07448362	0.115219876	0.10726266	0.1379248	0.14708897	0.20110655	0.19093803	0.1316912	0.094105765	0.07451687	0.045097355	0.0387781	0.029719168	0.107091665	0.11759273	0.16689259	0.09876105	0.08842154	0.13331722	0.1198903	0.07792082
ACTI_35	1.629418	0.82580835	1.7268951	2.5100772	2.5246935	2.0622754	1.577395	0.5639712	0.7397418	0.27638277	0.3855127	1.0866393	1.9752719	2.0236306	0.81774527	0.7353276	0.6527925	0.3722981	0.31149524	0.5874452	0.54185563	0.6867433	1.2710932	0.6974473	0.6963086	0.8575072	0.9716218	0.9355698
PROT_44	0.110137396	0.13910566	0.24519905	0.17939627	0.14704765	0.12249439	0.07445158	0.036860213	0.043964278	0.05584989	0.075793184	0.17095318	0.19653969	0.16576111	0.07917874	0.059455283	0.046509616	0.02846899	0.035786152	0.03333705	0.08119774	0.11121934	0.13450044	0.09148076	0.09347445	0.11318098	0.09721398	0.04660886
CHLO_67	0.034547623	0.070937775	0.04349686	0.021657329	0.06316401	0.03106549	0.010171951	0.015534625	0.01782942	0.045041565	0.024063963	0.039443627	0.031129366	0.018245613	0.04381925	0.06552239	0.043248836	0.052822668	0.041216396	0.033627585	0.046616435	0.035004716	0.045525108	0.0345144	0.043310273	0.034637734	0.0536691	0.07092261
ACTI_56	0.09390431	0.08040201	0.025177049	0.10255839	0.08744847	0.3729597	0.21565394	0.11542516	0.1431707	0.07608819	0.13040014	0.081918806	0.07462039	0.07973352	0.17350954	0.18096137	0.20865208	0.20128813	0.092586555	0.13975045	0.07868182	0.06871989	0.022612369	0	0	0.010060075	0.10153201	0.08879511
PROT_43	0.20986518	0.1846252	0.36912134	0.21968089	0.15809514	0.33472967	0.23888427	0.057979006	0.020552348	0.016588654	0.025290547	0.063139796	0.18719433	0.07249651	0.031052798	0.016070668	0	0	0	0	0	0	0	0	0	0.054980684	0.03369492	0.014003235
BDEL_23	0.07390625	0.029107127	0.011522026	0.10481674	0.12211894	0.032418963	0.01871773	0	0	0	0	0.02998444	0	0	0.045209743	0	0	0	0	0	0	0	0.040353995	0.051269	0.041859567	0.07786084	0.05250482	0.018303478
PROT_38	0.22031745	0.47262877	0.29377684	0.5144025	0.40623802	0.12713212	0.10690662	0.022333287	0.023787318	0.049209263	0.04717709	0.07165293	0.07512448	0.09217454	0.079101354	0.07956959	0.062320802	0.01823703	0.027849458	0.021520773	0.026162341	0.03788289	0.038165912	0.07713582	0.064540945	0.15794094	0.0723526	0.045193695
ACTI_63	0.8146793	0.7305332	0.4200715	0.51688474	1.0522614	0.8556105	1.069987	0.30132836	0.20333497	0.14261004	0.30833408	0.5182143	0.5378719	0.41443548	0.26700845	0.16660814	0.12800807	0.082425065	0.14389394	0.3081047	0.37343946	0.45566764	0.6890511	0.15780665	0.15570696	0.111970484	0.1614934	0.07742214
ARM_01	0.061407357	0.2018818	0.033805154	0.053736735	0.17063932	0.23731957	0.10011296	0.03221537	0	0	0.019250926	0.05944373	0.017553743	0.015127135	0.012336873	0	0	0	0	0	0.044901036	0.024695434	0.07782889	0.01504363	0.021043835	0.025089707	0.058812167	0.015309432
PROT_247	0.13194557	0.17724644	0.07185632	0.07244614	0.05775953	0.13918273	0.03164492	0.25965706	0.045289308	0.2585754	0.2742253	0.17657232	0.11013913	0.018395629	0.10013796	0.3548016	0.083532415	0.1555473	0.09877729	0.27979982	0.31342483	0.31807846	0.13236408	0.8499193	0.34277868	0.6968213	0.0464734	0.828203
PROT_103	0.15823941	0.12524195	0.22458595	0.08756756	0.09805195	0.110611916	0.06722639	0.13971822	0.19016002	0.2443333	0.33164322	0.33444336	0.2637354	0.23545237	0.18421587	0.15933245	0.15976308	0.18410976	0.22924906	0.16397403	0.24887952	0.2602813	0.29865074	0.25961566	0.20869704	0.24129662	0.2781255	0.2251178
PLAN_49	0.08117748	0.08403962	0.039890178	0.074227415	0.15173265	0.23224519	0.140183	0.055481542	0.052807968	0.028930461	0.05657285	0	0	0	0	0	0	0.009643368	0.015311773	0.011121964	0.05867263	0.099918395	0.060536616	0	0	0	0	0
CHLO_41	0.107956715	0.06152313	0.08939122	0.024517993	0.09698925	0.02879684	0.010679428	0.017714588	0.020000251	0.043797866	0.058648918	0.036843456	0.018308334	0	0.022003526	0	0	0	0.008949244	0	0.027181348	0.033110507	0.059066743	0.04106448	0.04628188	0.030790228	0.017399337	0.013626277
CHLO_76	0.053154446	0.13985702	0.16274118	0.061595336	0.03274972	0.07471133	0.017529918	0.06798199	0.025364041	0.09889698	0.08776838	0.14838704	0.037410922	0	0.1322599	0.037310213	0.032122467	0.034636825	0.07440067	0.042102978	0.16623649	0.18015511	0.16896167	0.09471133	0.058432125	0.15998173	0.16414751	0.09117941
BACT_101	0.25865737	0.22691934	0.22771944	0.07534772	0.16197872	0.13077444	0.0569072	0.15441476	0.17821069	0.2394859	0.25118434	0.3485282	0.09771397	0.0759724	0.25813335	0.13148993	0.105875455	0.25578776	0.23916999	0.26251772	0.4223899	0.3429734	0.48668024	0.43043542	0.52946925	0.25559086	0.34267932	0.2789051
CHLO_23	0.19065666	0.26332173	0.2542834	0.20109753	0.16086692	0.15080729	0.11682823	0.03573956	0.11159768	0.09231106	0.115125746	0.081467815	0.13398269	0.18694955	0.102081865	0.034200706	0.059485886	0.08307117	0.11171314	0.11394442	0.12893923	0.12736072	0.09183467	0.07228675	0.100093946	0.17991097	0.0974528	0.028108353
CHLO_45	0.10718974	1.091468	0.71518195	0.113808244	0.37985945	0.064941466	0.012464163	0.023984527	0	0.108782016	0.14400147	0.39421386	0.041684315	0.015074022	0.40347356	0.0754655	0.00703208	0.024776377	0.010723596	0	0.01582866	0.034444988	0.37415972	0.8539574	1.5937216	0.9676557	0.34809247	0.2247414
PLAN_46	0.16528615	0.19621472	0.21837062	0.2706475	0.19277878	0.25415266	0.14667208	0.038770262	0.1585773	0.0765522	0.17114934	0.18843023	0.31310806	0.18962225	0.17048201	0.1758256	0.14770165	0.17224467	0.07470316	0.10527553	0.16392398	0.14978348	0.19121432	0.098053016	0.15275791	0.19309972	0.21081713	0.1419862
ACTI_36	0.71602964	0.61370915	0.9431579	0.96457213	0.9429841	0.9666395	1.1196729	0.6060801	1.6531228	0.571014	0.5875693	0.3126214	0.4848605	0.5431914	0.26066774	0.22514236	0.21088082	0.17989132	0.19397098	0.28400388	0.20984297	0.25028038	0.3077459	0.19272338	0.19423735	0.2277471	0.29082793	0.3679692
VERR_01	0.011543889	0.008618737	0	0.4315936	0.019469839	0.019905468	0	0	0	0.013499351	0.05958884	0.025667515	0.01064659	0.019718852	0.039903946	0	0	0	0	0	0	0	0	0	0.012267767	0.020704893	0	0
PLAN_21	0.06774317	0.1012081	0.045461394	0.08020556	0.096736714	0.10370901	0.095737845	0.03328725	0.03301254	0.031053962	0.03225407	0.024027646	0.03667626	0.03937712	0.03484375	0.039969146	0.04033946	0.021067565	0.014303155	0	0	0.015919695	0.029790945	0.021622226	0.018980388	0.029256158	0.02811422	0.021425674
BACT_85	0.24325763	0.028326048	0	0	0	0	0.008681128	0.6244536	0.07889397	0.09673952	0.12969874	0.14013179	0.024779215	0	0	0.010743167	0.07822014	0.33428177	0.3718284	0.19800268	0.1891102	0.09891744	0.033364855	0.012139573	0.009289598	0	0	0
PROT_94	0.26715863	0.21248294	0.1341435	0.13266534	0.12781417	0.18453635	0.2571547	0.46062115	0.7066058	0.32182494	0.3154283	0.16943493	0.21682943	0.14034852	0.07743801	0.10227629	0.22680123	0.39804026	0.32759175	0.36587107	0.25538063	0.2972947	0.14641221	0.08474186	0.06468768	0.08238716	0.062015526	0.13500006
BACT_18	0.00870698	0.013518442	0	0	0	0	0	0.06198109	0.16891706	0.5457387	0.14086466	0.007448681	0	0	0	0	0	0.010207557	0.044520237	0.014415819	0.026017018	0.007802243	0	0	0	0	0	0
PLAN_42	0.012071525	0	0	0	0	0	0.008887734	0.016416293	0.19765083	0.11744915	0.02151582	0.052810416	0.057866678	0.032908816	0.009402496	0.012416202	0.027392443	0.068973765	0.10383362	0.030690162	0.039700616	0.044741973	0.038443226	0.021314912	0.025592651	0.027764648	0.020669736	0.030007085
PROT_126	0.24175425	0.21919905	0.1956273	0.14987183	0.14530481	0.15675221	0.05533032	0.15300214	0.12814453	0.29704487	0.27036142	0.24990414	0.17519057	0.16810468	0.25935733	0.19115604	0.13050105	0.14351577	0.12744494	0.07592731	0.14844112	0.17261477	0.22039156	0.22456472	0.15409695	0.21748254	0.18226194	0.17805281
PROT_146	0.11207522	0.009769678	0	0	0	0	0.016099337	0.030086758	0.26165968	0.32074484	0.30665898	0.013819955	0	0	0	0.014207619	0	0	0.012897948	0.019952351	0.027416112	0.023542566	0	0	0	0	0	0
BACT_86	0.24596287	0.028292041	0	0	0	0	0.01527233	1.2577997	0.10853914	0.1484111	0.212422	0.1934709	0.034947757	0	0	0.016142212	0.14397855	0.56089896	0.50252837	0.19717254	0.20039718	0.11423442	0.038766626	0.013377606	0.009365115	0	0	0
PLAN_73	0	0	0	0.012509019	0.012860257	0.019979462	0.03464188	0.020971447	0.26429054	0.05783967	0.05249696	0.114545256	0.06823115	0.012319591	0	0	0	0	0.01150375	0.020489406	0.054465316	0.01699898	0.033360306	0.030718673	0.03686789	0.030307846	0.030500295	0.04339191
PATE_47	0.2249189	0.18351436	0.32791427	0.10504852	0.09249994	0.39828855	0.32129017	0.12535869	0.010565762	0.1448386	0.18383293	0.26720744	0.36379594	0.31123784	0.4804237	0.6628074	0.25723985	0.12462464	0.21669123	0.07960442	0.03226037	0.034719724	0.22111592	0.31762493	0.44087514	0.04640249	0.121842705	0.0395942
ACTI_60	0.1761617	0.1732261	0.20401002	0.19912718	0.13248365	0.122202635	0.08018683	0.09204856	0.56659216	0.359587	0.29315734	0.20169392	0.19158188	0.12546085	0.11862769	0.052413277	0.054383837	0.04574267	0.067417756	0.05882401	0.17520398	0.22178562	0.14179957	0.113334514	0.110514365	0.15505622	0.18830703	0.091949426
SPIR_06	0.04824602	0.06270978	0.13304128	0.017816722	0	0.03125628	0	0.05195452	0.037471216	0.08146208	0.09995363	0.2416139	0	0	0.01984164	0	0	0.027737137	0.056568164	0.062429614	0.06687995	0.018789645	0.026850354	0.087184116	0.06801053	0.042805687	0.07001402	0.04653664
PROT_80	0.18804595	0.22277033	0.30313095	0.2833602	0.22797516	0.29693142	0.28505352	0.3724206	0.40758002	0.15387754	0.112778075	0.3382626	0.50767803	0.6304619	0.16458668	0.16948508	0.2249297	0.10209682	0.19485998	0.3276098	0.24779046	0.34678373	0.17622069	0.15136386	0.11654514	0.2918262	0.28604245	0.14908077
PROT_95	0.2570911	0.15334278	0.105053365	0.09970321	0.09542903	0.15958849	0.27074927	0.8904416	1.7018875	0.32353348	0.2365478	0.08758145	0.10476652	0.07644993	0.041717637	0.06678022	0.15730701	0.2638079	0.18803883	0.28104132	0.19217588	0.2230559	0.08796761	0.045334052	0.040036347	0.04302699	0.033583697	0.06678573
PROT_50	0.061157875	0.05735879	0.07951811	0.09748363	0.08369683	0.07499048	0.0601094	0.04827292	0.10895927	0.07615954	0.06875844	0.113516346	0.12832026	0.15192121	0.090598315	0.070273526	0.092165075	0.054869026	0.07040116	0.052757327	0.07014075	0.09382846	0.08296942	0.05559868	0.053233214	0.07596907	0.087487474	0.05145426
PATE_76	0.014718203	0.03303985	0.054748192	0.01685416	0.04872492	0.023237027	0.019774837	0	0	0.049683835	0.09379572	0.15573175	0.06857083	0.04183413	0.04251796	0.034682687	0.01758053	0.013376599	0	0	0.020874819	0.013483026	0.075368814	0.01737572	0.062731564	0.048059247	0.04494107	0.041221607
FIRM_03	0	0	0	0	0	0	0	0	0	0	0	0	0.27327415	0.27363586	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROT_214	0.025674623	0	0	0	0	0	0	0.009350312	0.21644942	0.092339136	0.0630861	0	0	0	0	0	0	0	0.023209361	0.010061111	0.012259225	0	0	0	0	0	0	0
PLAN_26	0.06714587	0.075043686	0.124176174	0.11028933	0.08189305	0.1030079	0.062104415	0.013023253	0	0	0.010962372	0.29230642	0.18794277	0.07258035	0.023846481	0.019835066	0.018065756	0.017982898	0.010065235	0	0.01377476	0.012694152	0.017905548	0	0	0.08064613	0.043785293	0.025000814
PROT_153	0.35370633	0.062779054	0.027251903	0.011133298	0.05762253	0.031758483	0.009384795	0.033599246	0.012683456	0.112247646	0.15791206	0.67561936	0	0	0.029754827	0.02277882	0	0.040995896	0.009474944	0	0.010545498	0	0	0	0	0.024137765	0	0
PROT_147	0.12161576	0	0	0	0	0.008843583	0.009652769	0.019341627	0.17753518	0.16086291	0.20600437	0.024749469	0	0	0.03186833	0.094071396	0.03169628	0.067476705	0.08233994	0.111626565	0.11187022	0.07246916	0.028539127	0.021708554	0.015472066	0.033725407	0.019246913	0.05142598
ACTI_58	0	0	0	0	0	0	0	0	0	0	0	0	0.018238699	0.12358893	0.49788237	0.1584365	0.087491006	0.030621512	0.047473744	0.021946898	0.10405437	0.08457904	0.10147194	0	0.041550603	0	0.036712307	0
PLAN_68	0.0474981	0.013841129	0	0	0	0	0.060604777	0.06343286	0.04626529	0.040545054	0.06452132	0.009507398	0	0	0	0	0.024707757	0.033518393	0.03806757	0.030787805	0.023081573	0.02483038	0.015132057	0.02519176	0.021931851	0	0.010544694	0.02936034
CALD_03	0.046392415	0.018170381	0	0	0	0	0	0.014390484	0.02167231	0.15741369	0.1451073	0.036651693	0	0	0.016196093	0	0	0.015296793	0.0167596	0.011540359	0.027810272	0.013290808	0	0.019273367	0.015237853	0.02069695	0	0.010428425
PROT_68	0.2179791	0.19078653	0.2259098	0.40383106	0.44643208	0.3825013	0.41188884	0.4197981	0.42836332	0.1545395	0.18260774	0.16878273	0.3612288	0.27472284	0.2221724	0.27732223	0.49755442	0.32634404	0.19506437	0.31748497	0.2217504	0.21347755	0.22261208	0.16748504	0.15307619	0.26335177	0.14692512	0.18825416
CHLO_46	0.033424485	0.12162559	0.074773796	0.012138244	0.019751702	0.017114256	0	0.031649962	0	0.14567797	0.1043139	0.04809236	0.014098908	0	0.026046935	0.012165689	0	0.018341001	0.013372095	0	0.017480614	0.008143296	0.00915977	0.01696015	0.029556356	0.058343485	0.012647194	0
PROT_13	0.11301351	0.19302657	0.2001156	0.02093089	0.026915688	0.03722215	0.025210267	0.25742865	0.026698373	0.370214	0.32584023	0.09696345	0.034549426	0.01398977	0.022671793	0.03836406	0.018352536	0.02602314	0.026272899	0.031046025	0.03402487	0.038609765	0.031436924	0.13926293	0.19645935	0.11690155	0.09506473	0.26332226
PROT_39	0.31509584	0.27883235	0.50577044	0.45923826	0.40438202	0.4427356	0.41549173	0.0625599	0.04880062	0.16001919	0.14502777	0.30141124	0.20541054	0.26785365	0.18095332	0.23272498	0.18374252	0.038291086	0.058477305	0.03765524	0.04272466	0.06988711	0.10464728	0.13829748	0.05658718	0.089273356	0.062437467	0.048261445
PLAN_50	0.37071434	0.34088045	0.25727323	0.20361026	0.216235	0.13833323	0.15030518	0.13626312	0.20517614	0.09981773	0.16583166	0.21356922	0.2992546	0.21731356	0.09734022	0.056046367	0.05504654	0.057416018	0.14324403	0.13840236	0.17414682	0.22194588	0.29760918	0.17670847	0.14933239	0.22407883	0.4113614	0.073440716
PROT_49	0.13969249	0.12326895	0.08580435	0.1315255	0.12420007	0.10803849	0.10997766	0.070855856	0.16040787	0.11005843	0.15510306	0.09865748	0.12902753	0.06959467	0.052194998	0.076347746	0.084537365	0.090312384	0.07566041	0.07278195	0.14222038	0.1717836	0.08293856	0.060913324	0.049508873	0.106742755	0.06475867	0.04918681
